実行日時,手法,MAE,MAE_std,RMSE,MAPE,R2,行数,fold数,seed,備考
2026-08-29 14:05,0  中央値,64.571,1.044,76.529,43.74,-0.0161,5507,5,42,予測しない場合の下限
2026-08-29 14:05,A1 線形回帰・従来列,22.763,0.705,34.954,16.29,0.7703,5507,5,42,Ridge + one-hot。スクレイピング当時の回帰分析の再現
2026-08-29 14:05,A2 LightGBM・従来列,17.512,0.386,23.137,10.90,0.9070,5507,5,42,A1と同じ列。モデルを木に替えた効果
2026-08-29 14:05,B  LightGBM・構造化列フル,12.881,0.192,17.222,8.39,0.9485,5507,5,42,+グレード名・色・車検残月数・装備数
2026-08-29 14:05,C1 B+装備テキスト(単語TF-IDF),12.558,0.296,16.928,8.22,0.9502,5507,5,42,"min_df=5, max_features=300。LLMなしでテキストを入れた到達点"
2026-08-29 14:06,C2 B+装備テキスト(文字TF-IDF),12.213,0.417,16.487,7.95,0.9528,5507,5,42,"char_wb 2-4gram, max_features=1000。表記ゆれを部分文字列で吸収"
2026-08-29 14:06,C1' C1のlog(価格)版,12.567,0.320,16.982,8.01,0.9499,5507,5,42,目的変数を対数化。右に裾を引く分布への対応
2026-08-29 14:07,Ab0 A2再掲（従来列のみ）,17.512,0.386,23.137,10.90,0.9070,5507,5,42,比較の起点
2026-08-29 14:07,Ab1 +グレード名,13.604,0.284,18.135,8.86,0.9429,5507,5,42,タイトルから正規表現で抽出した列。非構造テキスト由来
2026-08-29 14:07,Ab2 +装備数,17.213,0.332,22.773,10.67,0.9099,5507,5,42,タイトルの装備羅列の語数。非構造テキスト由来
2026-08-29 14:07,Ab3 +色_基本,16.791,0.260,22.165,10.40,0.9146,5507,5,42,構造化列。101水準あり正規化が甘い
2026-08-29 14:07,Ab4 +車検残月数,17.149,0.267,22.556,10.77,0.9117,5507,5,42,"構造化列。欠損2,926件（車検整備付の車）"
